SITE_ID,RAN_SW_VENDOR,CUSTOM_K8_ID_CUS,CUSTOM_GNODEB_NAME,CUSTOM_GNODEB_SITE_NUMBER,CUSTOM_K8_ID_DUS
LALAX04086A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,4,11
LALAX04087B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,5,5
LALAX04088B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731014,5,1
LALAX04089A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,5,8
LALAX04090B,Samsung,nan,LALAX731017,6,11
LALAX04091A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,7,11
LALAX04092C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-04,LALAX741018,34,7
LALAX04093B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,7,4
LALAX04094A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,,,
LALAX04094B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,7,2
LALAX04095B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,8,9
LALAX04096A,Samsung,nan,LALAX731006,4,1
LALAX04097D,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731005,25,4
LALAX04098A,Samsung,nan,LALAX731017,8,5
LALAX04099A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,9,3
LALAX04100A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731011,5,4
LALAX04101A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731010,4,3
LALAX04102C,Samsung,nan,LALAX731017,9,10
LALAX04103B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731010,5,1
LALAX04104B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731010,6,1
LALAX04105C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731015,4,3
LALAX04106A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,10,1
LALAX04107A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731010,7,3
LALAX04108A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,10,9
LALAX04109B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731007,5,4
LALAX04110C,Samsung,nan,LALAX731009,5,5
LALAX04111B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731012,5,2
LALAX04112A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731011,6,11
LALAX04113B,Samsung,nan,LALAX731011,7,8
LALAX04114A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,8,9
LALAX04115A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731022,9,2
LALAX04116A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,11,6
LALAX04117A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,11,9
LALAX04118A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,12,2
LALAX04119C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,6,10
LALAX04120A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731014,6,2
LALAX04121A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,12,6
LALAX04122B,Samsung,nan,LALAX731017,13,9
LALAX04123B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731012,6,1
LALAX04124B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-04,LALAX741017,34,2
LALAX04125A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731014,7,4
LALAX04126B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731009,6,1
LALAX04127B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,5,6
LALAX04128B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731021,6,6
LALAX04129B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,7,8
LALAX04130B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731016,5,10
LALAX04131B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731011,8,1
LALAX04132B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731016,6,7
LALAX04133C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731009,7,8
LALAX04134B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731010,8,2
LALAX04135A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731007,6,1
LALAX04136B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731010,9,3
LALAX04137D,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731009,8,10
